time,G_min,G_max,G_opt,I_min,I_max,I_opt
290.84,10.02664839,11.89580264,10.80665801,0.046437328,0.164773813,0.106782498
290.85,10.02579205,11.89553138,10.80594854,0.046577485,0.165225007,0.107092778
290.86,10.02493566,11.89525974,10.8052389,0.046717484,0.16567538,0.107402622
290.87,10.02407923,11.89498773,10.8045291,0.046857325,0.166124932,0.10771203
290.88,10.02322274,11.89471535,10.80381915,0.046997007,0.166573664,0.108021004
290.89,10.0223662,11.8944426,10.80310903,0.047136532,0.167021578,0.108329542
290.9,10.02150961,11.89416947,10.80239875,0.047275898,0.167468676,0.108637647
290.91,10.02065297,11.89389598,10.80168832,0.047415107,0.167914957,0.108945318
290.92,10.01979628,11.89362211,10.80097772,0.047554158,0.168360425,0.109252556
290.93,10.01893955,11.89334788,10.80026697,0.047693052,0.16880508,0.109559362
290.94,10.01808276,11.89307328,10.79955607,0.047831788,0.169248922,0.109865735
290.95,10.01722593,11.8927983,10.798845,0.047970368,0.169691955,0.110171677
290.96,10.01636905,11.89252296,10.79813378,0.04810879,0.170134178,0.110477188
290.97,10.01551212,11.89224726,10.79742241,0.048247055,0.170575594,0.110782268
290.98,10.01465514,11.89197118,10.79671088,0.048385163,0.171016203,0.111086918
290.99,10.01379811,11.89169474,10.79599919,0.048523115,0.171456006,0.111391139
291,10.01294104,11.89141794,10.79528736,0.04866091,0.171895006,0.11169493
291.01,10.01208392,11.89114076,10.79457536,0.048798549,0.172333203,0.111998293
291.02,10.01122676,11.89086322,10.79386322,0.048936032,0.172770598,0.112301228
291.03,10.01036954,11.89058532,10.79315092,0.049073359,0.173207193,0.112603736
291.04,10.00951229,11.89030706,10.79243848,0.049210529,0.17364299,0.112905816
291.05,10.00865498,11.89002843,10.79172588,0.049347544,0.174077989,0.11320747
291.06,10.00779763,11.88974943,10.79101313,0.049484404,0.174512191,0.113508697
291.07,10.00694023,11.88947008,10.79030023,0.049621107,0.174945598,0.113809499
291.08,10.00608279,11.88919036,10.78958718,0.049757656,0.175378212,0.114109876
291.09,10.00522531,11.88891028,10.78887398,0.049894049,0.175810033,0.114409829
291.1,10.00436778,11.88862983,10.78816063,0.050030287,0.176241063,0.114709357
291.11,10.0035102,11.88834903,10.78744713,0.05016637,0.176671303,0.115008462
291.12,10.00265258,11.88806787,10.78673349,0.050302299,0.177100754,0.115307143
