time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H2_G_opt,H2_G_min,H2_G_max,Glycemic_level
311.86,,,7.557491434,8.583994235,,8.080020951,8.999647223,
311.87,,,7.556811667,8.583447918,,8.079409153,8.999214362,
311.88,,,7.556132109,8.582901683,,8.078797505,8.998781547,
311.89,,,7.55545276,8.582355529,,8.078186007,8.998348777,
311.9,,,7.554773621,8.581809457,,8.077574658,8.997916052,
311.91,,,7.55409469,8.581263466,,8.076963459,8.997483372,
311.92,,,7.553415968,8.580717556,,8.07635241,8.997050737,
311.93,,,7.552737455,8.580171728,,8.07574151,8.996618148,
311.94,,,7.55205915,8.579625981,,8.07513076,8.996185604,
311.95,,,7.551381053,8.579080315,,8.074520158,8.995753105,
311.96,,,7.550703165,8.578534731,,8.073909706,8.995320652,
311.97,,,7.550025485,8.577989227,,8.073299404,8.994888243,
311.98,,,7.549348013,8.577443805,,8.07268925,8.99445588,
311.99,,,7.548670749,8.576898464,,8.072079245,8.994023561,
312,,,7.547993693,8.576353204,,8.071469389,8.993591288,
312.01,,,7.547316845,8.575808025,,8.070859682,8.99315906,
312.02,,,7.546640204,8.575262927,,8.070250124,8.992726877,
312.03,,,7.54596377,8.574717911,,8.069640715,8.992294739,
312.04,,,7.545287544,8.574172975,,8.069031454,8.991862646,
312.05,,,7.544611525,8.57362812,,8.068422342,8.991430598,
312.06,,,7.543935713,8.573083346,,8.067813378,8.990998595,
312.07,,,7.543260108,8.572538653,,8.067204563,8.990566637,
312.08,,,7.54258471,8.571994041,,8.066595896,8.990134724,
312.09,,,7.541909519,8.571449509,,8.065987377,8.989702856,
312.1,,,7.541234535,8.570905059,,8.065379007,8.989271033,
312.11,,,7.540559756,8.570360689,,8.064770784,8.988839254,
312.12,,,7.539885185,8.5698164,,8.06416271,8.988407521,
312.13,,,7.539210819,8.569272191,,8.063554784,8.987975833,
312.14,,,7.53853666,8.568728063,,8.062947005,8.987544189,
312.15,,,7.537862707,8.568184016,,8.062339375,8.98711259,
312.16,,,7.537188959,8.56764005,,8.061731892,8.986681036,
312.17,,,7.536515418,8.567096164,,8.061124557,8.986249527,
312.18,,,7.535842082,8.566552358,,8.06051737,8.985818063,
312.19,,,7.535168952,8.566008634,,8.05991033,8.985386643,
312.2,,,7.534496027,8.565464989,,8.059303437,8.984955268,
312.21,,,7.533823308,8.564921425,,8.058696692,8.984523938,
312.22,,,7.533150793,8.564377942,,8.058090094,8.984092652,
312.23,,,7.532478484,8.563834539,,8.057483644,8.983661412,
312.24,,,7.53180638,8.563291216,,8.056877341,8.983230216,
312.25,,,7.531134481,8.562747974,,8.056271185,8.982799064,
312.26,,,7.530462786,8.562204811,,8.055665175,8.982367958,
312.27,,,7.529791296,8.56166173,,8.055059313,8.981936895,
312.28,,,7.529120011,8.561118728,,8.054453598,8.981505878,
312.29,,,7.52844893,8.560575807,,8.05384803,8.981074905,
312.3,,,7.527778053,8.560032965,,8.053242608,8.980643977,
312.31,,,7.527107381,8.559490204,,8.052637333,8.980213093,
312.32,,,7.526436912,8.558947523,,8.052032204,8.979782254,
312.33,,,7.525766648,8.558404923,,8.051427223,8.979351459,
312.34,,,7.525096587,8.557862402,,8.050822387,8.978920709,
312.35,,,7.52442673,8.557319961,,8.050217698,8.978490003,
312.36,,,7.523757077,8.5567776,,8.049613155,8.978059342,
312.37,,,7.523087627,8.556235319,,8.049008759,8.977628725,
312.38,,,7.52241838,8.555693119,,8.048404509,8.977198153,
312.39,,,7.521749337,8.555150998,,8.047800404,8.976767625,
312.4,,,7.521080497,8.554608957,,8.047196446,8.976337142,
312.41,,,7.520411859,8.554066995,,8.046592634,8.975906703,
312.42,,,7.519743425,8.553525114,,8.045988968,8.975476308,
312.43,,,7.519075194,8.552983312,,8.045385447,8.975045958,
312.44,,,7.518407165,8.55244159,,8.044782073,8.974615652,
312.45,,,7.517739338,8.551899948,,8.044178843,8.97418539,
312.46,,,7.517071715,8.551358386,,8.04357576,8.973755172,
312.47,,,7.516404293,8.550816903,,8.042972822,8.973324999,
312.48,,,7.515737074,8.5502755,,8.042370029,8.972894871,
312.49,,,7.515070056,8.549734176,,8.041767382,8.972464786,
312.5,,,7.514403241,8.549192932,,8.041164881,8.972034746,
312.51,,,7.513736628,8.548651768,,8.040562524,8.97160475,
